profile_name,rating,review_topic,time_place,color,review_text,model_phone,aspect,sentiment,aspect_text,review_score
donnessa mcdonaldharris,5.0 out of 5 stars,love,reviewed united state april,color titanium blacksize gbstyle ultrapattern name phone,love everything phone camera amazing,samsung s24,camera,positive,camera love everything phone camera amazing,5
water,5.0 out of 5 stars,great phone work verizon network perfectly,reviewed united state october,color aurora purple global rom,previous pixel note pro g similar user standpoint xiaomi better battery life little different user interface overall would buy great value cost less,redmi note 13 pro,battery,neutral,battery previous pixel note pro g similar user standpoint xiaomi better battery life little different user interface overall would buy great value cost less,3
fenix,5.0 out of 5 stars,one person found helpful,reviewed united state april,color titanium graysize gbstyle ultrapattern name phone,great phone,samsung s24,other,positive,other great phone,5
amazon customer,4.0 out of 5 stars,great phone camera,reviewed united state november,size gbstyle black,loved phone cost issue since get replacement directly phone provider less,oneplus 12.csv,price,positive,price loved phone cost issue since get replacement directly phone provider less,5
amazon customer,5.0 out of 5 stars,unknown,reviewed italy october,size gbcolor black,already decided buy another honor replace old one broken research came across phone brand never heard intrigued particular look somewhat distance uniform mass today smartphones based characteristic accordance looking decided take great choice plastic solid much gave cover good grip hand slip like soap like many others rounded side customizable interface like possibility creating background artificial intelligence various customizable widget pedometer battery exceptional using phone continuous work call message email document editing research etc arrive evening battery use several apps time without problem keep brightness high consumes little dont use always function consumes lot battery photo come well sharp incredible detail led back flash notification plus may like least like find useful like robotic sound provided less look undoubtedly minimalist whether like still customize maximum would say great phone price satisfactory,nothing 2a,battery,positive,battery already decided buy another honor replace old one broken research came across phone brand never heard intrigued particular look somewhat distance uniform mass today smartphones based characteristic accordance looking decided take great choice plastic solid much gave cover good grip hand slip like soap like many others rounded side customizable interface like possibility creating background artificial intelligence various customizable widget pedometer battery exceptional using phone continuous work call message email document editing research etc arrive evening battery use several apps time without problem keep brightness high consumes little dont use always function consumes lot battery photo come well sharp incredible detail led back flash notification plus may like least like find useful like robotic sound provided less look undoubtedly minimalist whether like still customize maximum would say great phone price satisfactory,5
sharlene,5.0 out of 5 stars,people found helpful,reviewed united state march,service provider unlockedcolor natural titaniumsize gb,report,iphone 15 pro,other,neutral,other report,3
dave,5.0 out of 5 stars,huge upgrade,reviewed united state october,size gbstyle black,upgraded phone oneplus g great phone due dropping steel pipe cracking screen removing scratched screen protector totally fault anyway im beside performance beast ton youtube video research pulled trigger amazon deal day got wow worth every penny feel great hand ton storage super fast super bright best camera ive ever phone also huge battery last charge warp speed oneplus also super customizable pretty simple configure look spec research youll see cant beat phone price literally feel like phone thing id recommend make sure buy phone case dont damage beauty come screen protector already installed gorilla glass victus good bought pack screen protector anyway factory one need replacement plan keeping baby year come,oneplus 12.csv,battery,positive,battery upgraded phone oneplus g great phone due dropping steel pipe cracking screen removing scratched screen protector totally fault anyway im beside performance beast ton youtube video research pulled trigger amazon deal day got wow worth every penny feel great hand ton storage super fast super bright best camera ive ever phone also huge battery last charge warp speed oneplus also super customizable pretty simple configure look spec research youll see cant beat phone price literally feel like phone thing id recommend make sure buy phone case dont damage beauty come screen protector already installed gorilla glass victus good bought pack screen protector anyway factory one need replacement plan keeping baby year come,5
hamlet eloy,5.0 out of 5 stars,report,reviewed united state february,color ocean teal global rom,excellent equipment,redmi note 13 pro,software,positive,software excellent equipment,5
lisa schorm,1.0 out of 5 stars,wrong information,reviewed germany october,black,opened seal noticed second sticker underneath smaller already cut package already opened rear camera mp sent returned seller westcom,samsung a14 5g,camera,neutral,camera opened seal noticed second sticker underneath smaller already cut package already opened rear camera mp sent returned seller westcom,3
clint,4.0 out of 5 stars,pretty good,reviewed united state january,service provider unlockedcolor natural titaniumsize gb,thing dont like phone didnt replace battery battery health say feel kind cheated,iphone 15 pro,battery,positive,battery thing dont like phone didnt replace battery battery health say feel kind cheated,5
zaret calderon,5.0 out of 5 stars,pretty described,reviewed united state may,service provider attcolor white titaniumsize gb,beautiful light issue,iphone 15 pro,other,positive,other beautiful light issue,5
